source_group,repo_name,time,commit_match_status,paper_latest_commit,our_latest_commit,ncloc_scope_status,metric,paper_value,our_value,diff,abs_diff
control,ysj9909/SHViT,2024-04,exact_match,fee7ce4258e81baf9e929e90f26168d632d186a7,fee7ce4258e81baf9e929e90f26168d632d186a7,ncloc_identical,code_smells,47.0,766.0,719.0,719.0
control,ysj9909/SHViT,2024-05,exact_match,20819cb8f624e183b1fa2ce941ed18ab8037b07d,20819cb8f624e183b1fa2ce941ed18ab8037b07d,ncloc_identical,code_smells,47.0,766.0,719.0,719.0
control,ysj9909/SHViT,2024-06,exact_match,6a729ccf18e0b941714b529638bd3d9bacebcef0,6a729ccf18e0b941714b529638bd3d9bacebcef0,ncloc_identical,code_smells,47.0,766.0,719.0,719.0
control,zhipeixu/FakeShield,2025-05,exact_match,c34dab9b8df3dc77d2632344eb0d0af387d0658f,c34dab9b8df3dc77d2632344eb0d0af387d0658f,ncloc_identical,code_smells,805.0,1484.0,679.0,679.0
control,zhipeixu/FakeShield,2025-02,exact_match,b807b92ac958678bb278e741864ba4b821fb73c1,b807b92ac958678bb278e741864ba4b821fb73c1,ncloc_identical,code_smells,805.0,1484.0,679.0,679.0
control,zhipeixu/FakeShield,2025-04,exact_match,2910fb826ea20e11c2c2553c36984630216c0bab,2910fb826ea20e11c2c2553c36984630216c0bab,ncloc_identical,code_smells,805.0,1484.0,679.0,679.0
control,zhipeixu/FakeShield,2025-06,exact_match,346cb6c74c9a426c1c00d98b13e5f417161a94c1,346cb6c74c9a426c1c00d98b13e5f417161a94c1,ncloc_identical,code_smells,805.0,1484.0,679.0,679.0
control,zhipeixu/FakeShield,2025-03,exact_match,7bd43c8badef7341807e85e55a8b216dac6c2424,7bd43c8badef7341807e85e55a8b216dac6c2424,ncloc_identical,code_smells,805.0,1484.0,679.0,679.0
treatment,keephq/keep,2024-07,exact_match,bd626be9f9760d7665d906f637467f8b811175d3,bd626be9f9760d7665d906f637467f8b811175d3,ncloc_identical,code_smells,1194.0,1549.0,355.0,355.0
treatment,keephq/keep,2024-06,exact_match,e6ce080de41cd5e218eff5357b00f6ebdbb5b757,e6ce080de41cd5e218eff5357b00f6ebdbb5b757,ncloc_identical,code_smells,1037.0,1329.0,292.0,292.0
control,HelpingAI/Webscout,2025-03,exact_match,0d6ff18a9799de1f2bbe637431e363e4c49006e7,0d6ff18a9799de1f2bbe637431e363e4c49006e7,ncloc_identical,code_smells,689.0,977.0,288.0,288.0
treatment,keephq/keep,2024-05,exact_match,23e20189f22444f91b33f89339fe438bc08c9a16,23e20189f22444f91b33f89339fe438bc08c9a16,ncloc_identical,code_smells,966.0,1247.0,281.0,281.0
treatment,trycua/cua,2025-06,exact_match,f4b6b5942bc67e3331da5c442f6b8aa894bd12a1,f4b6b5942bc67e3331da5c442f6b8aa894bd12a1,ncloc_identical,code_smells,328.0,554.0,226.0,226.0
treatment,leettools-dev/leettools,2025-03,exact_match,bda6d9df917d725b816c05796846f480118cc20a,bda6d9df917d725b816c05796846f480118cc20a,ncloc_identical,code_smells,611.0,820.0,209.0,209.0
treatment,leettools-dev/leettools,2025-04,exact_match,956ff760bdfbbe1c9a241742cad3b59cdde30655,956ff760bdfbbe1c9a241742cad3b59cdde30655,ncloc_identical,code_smells,614.0,821.0,207.0,207.0
treatment,leettools-dev/leettools,2025-02,exact_match,ea08c2251ef60be5c545e99a82abc904257653ad,ea08c2251ef60be5c545e99a82abc904257653ad,ncloc_identical,code_smells,582.0,788.0,206.0,206.0
control,HelpingAI/Webscout,2024-09,exact_match,b2042728b5aa9a57cce3073ad525f0c796c2d62c,b2042728b5aa9a57cce3073ad525f0c796c2d62c,ncloc_identical,code_smells,500.0,700.0,200.0,200.0
control,Jieqianyu/SGN,2024-09,exact_match,b519871f45a2751d7e9cf4798c90fbff3e410a51,b519871f45a2751d7e9cf4798c90fbff3e410a51,ncloc_identical,code_smells,197.0,388.0,191.0,191.0
control,Jieqianyu/SGN,2024-01,exact_match,a65798174a839bde9c0d2c72dee3848a67bb05ab,a65798174a839bde9c0d2c72dee3848a67bb05ab,ncloc_identical,code_smells,197.0,388.0,191.0,191.0
treatment,trycua/cua,2025-05,exact_match,99b979ef114345fae36dba627f33577388759f47,99b979ef114345fae36dba627f33577388759f47,ncloc_identical,code_smells,287.0,462.0,175.0,175.0
treatment,namuan/trading-utils,2025-02,exact_match,303ea8532d774af9531699c7278303c6d2deb657,303ea8532d774af9531699c7278303c6d2deb657,ncloc_identical,code_smells,237.0,407.0,170.0,170.0
control,HelpingAI/Webscout,2024-08,exact_match,146ee41132650aac4ee6e171c7f136e47de7312f,146ee41132650aac4ee6e171c7f136e47de7312f,ncloc_identical,code_smells,420.0,583.0,163.0,163.0
treatment,namuan/trading-utils,2025-01,exact_match,a34c6ed0ec038a18a9412b9443b79981c10c3342,a34c6ed0ec038a18a9412b9443b79981c10c3342,ncloc_identical,code_smells,232.0,393.0,161.0,161.0
control,dymmond/edgy,2024-11,exact_match,b3793603d969de4bf76397961da57910c1e7a6ca,b3793603d969de4bf76397961da57910c1e7a6ca,ncloc_identical,code_smells,224.0,384.0,160.0,160.0
treatment,trycua/cua,2025-08,exact_match,9515a650ad505cad48638abcb96d343d7b6d1da1,9515a650ad505cad48638abcb96d343d7b6d1da1,ncloc_identical,code_smells,360.0,519.0,159.0,159.0
treatment,trycua/cua,2025-07,exact_match,10bac17c7892facda695a514891e078ae9a55991,10bac17c7892facda695a514891e078ae9a55991,ncloc_identical,code_smells,272.0,431.0,159.0,159.0
control,dymmond/edgy,2024-10,exact_match,35e2fe2ce7936f3eda666eb083c6f64d11610d29,35e2fe2ce7936f3eda666eb083c6f64d11610d29,ncloc_identical,code_smells,214.0,370.0,156.0,156.0
treatment,osomai/servicenow-mcp,2025-06,exact_match,1407e200620bf7b1dc2b2269f4d0d331ec31a1af,1407e200620bf7b1dc2b2269f4d0d331ec31a1af,ncloc_identical,code_smells,62.0,213.0,151.0,151.0
treatment,osomai/servicenow-mcp,2025-08,exact_match,15de01c77dddaf0cf9a5939f2683436088d510b9,15de01c77dddaf0cf9a5939f2683436088d510b9,ncloc_identical,code_smells,62.0,213.0,151.0,151.0
control,dymmond/edgy,2024-12,exact_match,d1021f76b8fd28b0b0dca17c69da71a3bdc9025e,d1021f76b8fd28b0b0dca17c69da71a3bdc9025e,ncloc_identical,code_smells,245.0,395.0,150.0,150.0
treatment,osomai/servicenow-mcp,2025-03,exact_match,7b4d9e220ae702b3f36d4027e2a7cee83de234d7,7b4d9e220ae702b3f36d4027e2a7cee83de234d7,ncloc_identical,code_smells,54.0,194.0,140.0,140.0
control,dymmond/edgy,2024-09,exact_match,80f019ccf8587cec7d73e07f0c8b2cca70f5a923,80f019ccf8587cec7d73e07f0c8b2cca70f5a923,ncloc_identical,code_smells,197.0,333.0,136.0,136.0
treatment,namuan/trading-utils,2024-12,exact_match,ddd34a11ea8aed024058acd1de1c5e1462ff55b0,ddd34a11ea8aed024058acd1de1c5e1462ff55b0,ncloc_identical,code_smells,229.0,358.0,129.0,129.0
control,dymmond/edgy,2025-02,exact_match,6beec111e957f1ef9fadfd39bf88a4617f574a9d,6beec111e957f1ef9fadfd39bf88a4617f574a9d,ncloc_identical,code_smells,305.0,434.0,129.0,129.0
treatment,osomai/servicenow-mcp,2025-05,exact_match,8ada1173a9f4bd18e7ef97bff96e07d0530e4ee7,8ada1173a9f4bd18e7ef97bff96e07d0530e4ee7,ncloc_identical,code_smells,53.0,181.0,128.0,128.0
treatment,osomai/servicenow-mcp,2025-04,exact_match,2ccb5864e204ab0e397e7b11366e7137fda6356e,2ccb5864e204ab0e397e7b11366e7137fda6356e,ncloc_identical,code_smells,53.0,181.0,128.0,128.0
control,HelpingAI/Webscout,2024-07,exact_match,8f1fa236c636b57605c2d0bcb3e74605a6789796,8f1fa236c636b57605c2d0bcb3e74605a6789796,ncloc_identical,code_smells,427.0,554.0,127.0,127.0
control,golemfoundation/octant,2024-02,exact_match,dcc1b2c3e18458991c3150adfb08f0fc2a7a7b50,dcc1b2c3e18458991c3150adfb08f0fc2a7a7b50,ncloc_identical,code_smells,280.0,401.0,121.0,121.0
treatment,trycua/cua,2025-03,exact_match,9324ab56b21973171f72bfbb6f8aeb8c76871bf3,9324ab56b21973171f72bfbb6f8aeb8c76871bf3,ncloc_identical,code_smells,154.0,274.0,120.0,120.0
