source_group,repo_name,time,commit_match_status,paper_latest_commit,our_latest_commit,ncloc_scope_status,paper_value_ncloc,our_value_ncloc,diff_ncloc,abs_diff_ncloc,paper_value_bugs,our_value_bugs,diff_bugs,abs_diff_bugs,paper_value_vulnerabilities,our_value_vulnerabilities,diff_vulnerabilities,abs_diff_vulnerabilities,paper_value_code_smells,our_value_code_smells,diff_code_smells,abs_diff_code_smells,paper_value_duplicated_lines_density,our_value_duplicated_lines_density,diff_duplicated_lines_density,abs_diff_duplicated_lines_density,paper_value_comment_lines_density,our_value_comment_lines_density,diff_comment_lines_density,abs_diff_comment_lines_density,paper_value_cognitive_complexity,our_value_cognitive_complexity,diff_cognitive_complexity,abs_diff_cognitive_complexity,paper_value_technical_debt,our_value_technical_debt,diff_technical_debt,abs_diff_technical_debt,paper_value_static_analysis_warnings,our_value_static_analysis_warnings,diff_static_analysis_warnings,abs_diff_static_analysis_warnings
control,2019211474/DL-NASA-SOH-CNN-BILSTM-Attention,2025-03,exact_match,2155b95284b5e4bfb02cc6aaf00914eafbdcad07,2155b95284b5e4bfb02cc6aaf00914eafbdcad07,ncloc_identical,410.0,410.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,67.0,5.0,5.0,32.9,32.9,0.0,0.0,21.3,21.3,0.0,0.0,4.0,4.0,0.0,0.0,223.0,251.0,28.0,28.0,62.0,67.0,5.0,5.0
control,AkariAsai/ScholarQABench,2024-11,exact_match,8f63e5b270ac2eac04ba06bfe42913388087f87f,8f63e5b270ac2eac04ba06bfe42913388087f87f,ncloc_identical,1469.0,1469.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,64.0,20.0,20.0,8.3,8.3,0.0,0.0,11.5,11.5,0.0,0.0,539.0,539.0,0.0,0.0,462.0,557.0,95.0,95.0,44.0,64.0,20.0,20.0
control,AkariAsai/ScholarQABench,2025-02,exact_match,c439fbce548b5fab5ff5304e748763e6c8b2b014,c439fbce548b5fab5ff5304e748763e6c8b2b014,ncloc_identical,1602.0,1602.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,65.0,21.0,21.0,7.5,7.5,0.0,0.0,12.5,12.5,0.0,0.0,554.0,554.0,0.0,0.0,462.0,562.0,100.0,100.0,44.0,65.0,21.0,21.0
control,AkariAsai/ScholarQABench,2025-04,exact_match,05b6bc5cd46a7d4c03caceffc8fe04e91bc192fb,05b6bc5cd46a7d4c03caceffc8fe04e91bc192fb,ncloc_identical,1602.0,1602.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,65.0,21.0,21.0,7.5,7.5,0.0,0.0,12.5,12.5,0.0,0.0,554.0,554.0,0.0,0.0,462.0,562.0,100.0,100.0,44.0,65.0,21.0,21.0
control,AkariAsai/ScholarQABench,2025-07,exact_match,a87a5e9cf8913b1b0cab3f74c9fc51560e4a3465,a87a5e9cf8913b1b0cab3f74c9fc51560e4a3465,ncloc_identical,1602.0,1602.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,65.0,21.0,21.0,7.5,7.5,0.0,0.0,12.5,12.5,0.0,0.0,554.0,554.0,0.0,0.0,462.0,562.0,100.0,100.0,44.0,65.0,21.0,21.0
control,AkariAsai/ScholarQABench,2025-08,exact_match,95e6fc52b0a8a0ce0a74956029991e3bb00c38b9,95e6fc52b0a8a0ce0a74956029991e3bb00c38b9,ncloc_identical,1602.0,1602.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,65.0,21.0,21.0,7.5,7.5,0.0,0.0,12.5,12.5,0.0,0.0,554.0,554.0,0.0,0.0,462.0,562.0,100.0,100.0,44.0,65.0,21.0,21.0
control,ArpiarSaundersLab/annsql,2024-09,exact_match,743f9eb70bd0a38892c47d6d7edb2598464bbd56,743f9eb70bd0a38892c47d6d7edb2598464bbd56,ncloc_identical,779.0,779.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1,12.1,0.0,0.0,182.0,182.0,0.0,0.0,217.0,217.0,0.0,0.0,36.0,36.0,0.0,0.0
control,ArpiarSaundersLab/annsql,2024-10,exact_match,c66fb84a7ce4a6a9b23dad2f15fd5d3812b65d17,c66fb84a7ce4a6a9b23dad2f15fd5d3812b65d17,ncloc_identical,1027.0,1027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,39.0,1.0,1.0,0.0,0.0,0.0,0.0,11.6,11.6,0.0,0.0,226.0,226.0,0.0,0.0,253.0,258.0,5.0,5.0,38.0,39.0,1.0,1.0
control,ArpiarSaundersLab/annsql,2024-11,exact_match,dd27a7d1a7b06498d0d3ead34847d6e7241105f6,dd27a7d1a7b06498d0d3ead34847d6e7241105f6,ncloc_identical,1416.0,1416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,47.0,1.0,1.0,12.5,12.5,0.0,0.0,15.3,15.3,0.0,0.0,257.0,257.0,0.0,0.0,323.0,328.0,5.0,5.0,46.0,47.0,1.0,1.0
control,ArpiarSaundersLab/annsql,2024-12,exact_match,95458872d923921d3231becd2429b327a626bb6d,95458872d923921d3231becd2429b327a626bb6d,ncloc_identical,1416.0,1416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,47.0,1.0,1.0,12.5,12.5,0.0,0.0,15.3,15.3,0.0,0.0,257.0,257.0,0.0,0.0,323.0,328.0,5.0,5.0,46.0,47.0,1.0,1.0
