key,value
script,proc_r/DiffInDiffBorusyak_agc_commit_function.Rmd
helper_file,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/proc_r/diff_in_diff_borusyak_helpers.R
panel_label,strict_full_paper_ncloc
panel_path,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_python/run-py-5e/strict/panel_event_monthly_agc_commit_function.csv
out_dir,/home/user1-system12/project-workspace/ai_code_complexity_study_python/ai-code-complexity-study/repo_python/run-py-5f/strict/full/paper_ncloc/calendar_month
sample_type,full
ncloc_specification,paper
ncloc_column,ncloc_paper
readiness_column,analysis_ready_paper_ncloc
outcomes,"has_function_change_event, log1p_function_change_events, log1p_agc_function_change_events, log1p_hwc_function_change_events"
covariates,log1p_age + ncloc_paper + log1p_contributors + log1p_stars + log1p_issues
first_stage_formula,~log1p_age + ncloc_paper + log1p_contributors + log1p_stars +      log1p_issues | repo_id + time_id
rows_after_readiness_filter,1596
rows_after_cohort_filter,1596
rows_used_by_models,1596
repositories_used_by_models,217
estimator,Borusyak imputation via didimputation::did_imputation
time_encoding,sequential_calendar_month_id
horizon,-6:6
pretrends,-6:-2
input_source,run-py-5e covariate-complete commit-function AGC DiD panel
interpretation_note,Occurrence and count outcomes use the full zero-inclusive repository-month panel.
